numero	genome	taille
1	Arabidopsis Thaliana	30427671
2	Arabidopsis Thaliana	19698289
3	Arabidopsis Thaliana	23459830
4	Arabidopsis Thaliana	18585056
5	Arabidopsis Thaliana	26975502
Pt	Arabidopsis Thaliana	154478
Mt	Arabidopsis Thaliana	366924
