accession	fonction	taille
AT1G01010	description:NAC	2268
AT1G01020	description:ARV1	2342
AT1G01030	description:AP2/B3-like	2065
AT1G01040	description:dicer-like	7704
AT1G01050	description:pyrophosphorylase	2001
AT1G01060	description:Homeodomain-like	4178
AT1G01070	description:nodulin	2573
AT1G01080	description:RNA-binding	1723
AT1G01090	ALPHA	2070
AT1G01100	description:60S	1018
AT1G01110	description:IQ-domain	2784
AT1G01120	description:3-ketoacyl-CoA	2051
AT1G01130	description:CBL-interacting	1906
AT1G01140	description:CBL-interacting	3458
AT1G01150	description:Homeodomain-like	2227
AT1G01160	description:GRF1-interacting	1739
AT1G01170	description:ozone-responsive	806
AT1G01180	description:S-adenosyl-L-methionine-dependent	1455
AT1G01190	description:cytochrome	1901
AT1G01200	description:RAB	1923
AT1G01210	description:DNA-directed	855
AT1G01220	description:L-fucokinase/GDP-L-fucose	4339
AT1G01225	description:NC	1472
AT1G01230	description:ORMDL	1828
AT1G01240	description:transmembrane	2121
AT1G01250	description:Integrase-type	890
AT1G01260	description:basic	2708
AT1G01280	description:cytochrome	1684
AT1G01290	description:cofactor	2205
AT1G01300	description:Eukaryotic	2061
AT1G01305		616
AT1G01310	description:CAP	976
AT1G01320	description:Tetratricopeptide	9446
AT1G01335	description:auxin-responsive	122
AT1G01340	description:cyclic	3654
AT1G01350	description:Zinc	2072
AT1G01355	description:Putative	1167
AT1G01360	description:regulatory	1391
AT1G01370	description:Histone	2553
AT1G01380	description:Homeodomain-like	971
AT1G01390	description:UDP-Glycosyltransferase	1835
AT1G01400		1521
AT1G01410	description:pumilio	1085
AT1G01420	description:UDP-glucosyl	1811
AT1G01430	description:TRICHOME	2346
AT1G01440		3325
AT1G01450	description:Protein	1412
AT1G01453	description:late	1224
AT1G01460	description:Phosphatidylinositol-4-phosphate	2827
AT1G01470	description:Late	1423
AT1G01480	description:1-amino-cyclopropane-1-carboxylate	2700
AT1G01490	description:Heavy	2479
AT1G01500	description:Erythronate-4-phosphate	2102
AT1G01510	description:NAD(P)-binding	3327
AT1G01520	description:Homeodomain-like	2028
AT1G01530	description:AGAMOUS-like	1036
AT1G01540	description:Protein	3142
AT1G01550	description:BPS1-like	2248
AT1G01560	description:MAP	2329
AT1G01570	description:transferring	2707
AT1G01580	description:ferric	4087
AT1G01590	description:ferric	3584
AT1G01600	description:cytochrome	2452
AT1G01610	description:glycerol-3-phosphate	2709
AT1G01620	description:plasma	1878
AT1G01630	description:Sec14p-like	2180
AT1G01640	description:BTB/POZ	1722
AT1G01650	description:SIGNAL	5065
AT1G01660	description:RING/U-box	2862
AT1G01670	description:RING/U-box	3341
AT1G01680	description:plant	2178
AT1G01690	description:putative	3381
AT1G01695	description:Phosphatidylinositol	1904
AT1G01700	description:RHO	2120
AT1G01710	description:acyl-CoA	3496
AT1G01715		1550
AT1G01720	description:NAC	1826
AT1G01725	description:adenylosuccinate	1067
AT1G01730		1392
AT1G01740	description:kinase	2458
AT1G01750	description:actin	795
AT1G01760	description:denosine	2187
AT1G01770	description:propionyl-CoA	4291
AT1G01780	description:GATA	1484
AT1G01790	description:K+	6851
AT1G01800	description:NAD(P)-binding	1840
AT1G01810		652
AT1G01820	description:peroxin	2333
AT1G01830	description:ARM	2306
AT1G01840	description:AP2-like	821
AT1G01860	description:Ribosomal	1688
AT1G01880	description:5'-3'	2740
AT1G01900	description:subtilase	2961
AT1G01910	description:P-loop	2710
AT1G01920	description:SET	3457
AT1G01930	description:zinc	3126
AT1G01940	description:Cyclophilin-like	2031
AT1G01950	description:armadillo	5240
AT1G01960	description:SEC7-like	7324
AT1G01970	description:Tetratricopeptide	1847
AT1G01980	description:FAD-binding	1932
AT1G01990		1482
AT1G02000	description:UDP-D-glucuronate	2087
AT1G02010	description:secretory	4679
AT1G02020	description:nitroreductase	2502
AT1G02030	description:C2H2-like	2134
AT1G02040	description:C2H2-type	1172
AT1G02050	description:Chalcone	1629
AT1G02060	description:Tetratricopeptide	2224
AT1G02065	description:squamosa	2234
AT1G02067		221
AT1G02070	description:zinc	895
AT1G02080	description:transcription	13512
AT1G02090	description:Proteasome	2531
AT1G02100	description:Leucine	3004
AT1G02110	description:bZIP	2697
AT1G02120	description:GRAM	4312
AT1G02130	description:RAS	1936
AT1G02140	description:mago	1356
AT1G02145	description:homolog	4019
AT1G02150	description:Tetratricopeptide	2058
AT1G02160	description:Cox19	851
AT1G02170	description:metacaspase	1890
AT1G02180	description:ferredoxin-like	1127
AT1G02190	description:Fatty	2953
AT1G02205	description:Fatty	3510
AT1G02210	description:NAC	263
AT1G02220	description:NAC	2070
AT1G02230	description:NAC	1957
AT1G02250	description:NAC	1699
AT1G02260	description:Divalent	2772
AT1G02270	description:Calcium-binding	3178
AT1G02280	description:translocon	2003
AT1G02290		2282
AT1G02300	description:Cysteine	2412
AT1G02305	description:Cysteine	2476
AT1G02310	description:Glycosyl	2588
AT1G02320		146
AT1G02330	description:integrator	1672
AT1G02335	description:germin-like	1227
AT1G02340	description:basic	2264
AT1G02350	description:protoporphyrinogen	875
AT1G02360	description:Chitinase	1365
AT1G02370	description:Tetratricopeptide	2239
AT1G02380	description:transmembrane	2167
AT1G02390	description:glycerol-3-phosphate	2723
AT1G02400	description:gibberellin	2851
AT1G02405	description:proline-rich	753
AT1G02410	description:cytochrome	2103
AT1G02420	description:Pentatricopeptide	1519
AT1G02430	description:ADP-ribosylation	1282
AT1G02440	description:ADP-ribosylation	969
AT1G02450	description:NIM1-interacting	622
AT1G02460	description:Pectin	2805
AT1G02470	description:Polyketide	1956
AT1G02475	description:Polyketide	1723
AT1G02490		297
AT1G02500	description:S-adenosylmethionine	2404
AT1G02510	description:Outward	1170
AT1G02520	description:P-glycoprotein	5533
AT1G02530	description:P-glycoprotein	4998
AT1G02540		872
AT1G02550	description:Plant	728
AT1G02560	description:nuclear	2387
AT1G02570	description:transmembrane	1009
AT1G02575	description:transmembrane	1046
AT1G02580	description:SET	4469
AT1G02590	description:Aldehyde	623
AT1G02610	description:RING/FYVE/PHD	3133
AT1G02620	description:Ras-related	1682
AT1G02630	description:Nucleoside	1988
AT1G02640	description:beta-xylosidase	3753
AT1G02650	description:Tetratricopeptide	1996
AT1G02660	description:alpha/beta-Hydrolases	3259
AT1G02670	description:P-loop	4235
AT1G02680	description:TBP-associated	1685
AT1G02690	description:importin	2959
AT1G02700	description:GATA	1477
AT1G02705		822
AT1G02710	description:glycine-rich	290
AT1G02720	description:galacturonosyltransferase	2582
AT1G02730	description:cellulose	4155
AT1G02740	description:MRG	2869
AT1G02750	description:Drought-responsive	1898
AT1G02770		1835
AT1G02780	description:Ribosomal	1735
AT1G02790	description:polygalacturonase	1961
AT1G02800	description:cellulase	3034
AT1G02810	description:Plant	2441
AT1G02813	description:pectinesterase	651
AT1G02816	description:pectinesterase	1601
AT1G02820	description:Late	911
AT1G02830	description:Ribosomal	524
AT1G02840	description:RNA-binding	3354
AT1G02850	description:beta	2754
AT1G02860	description:SPX	2118
AT1G02870	description:nucleolar-like	1467
AT1G02880	description:thiamin	1794
AT1G02890	description:AAA-type	6917
AT1G02900	description:rapid	853
AT1G02910	description:tetratricopeptide	2648
AT1G02920	description:glutathione	1402
AT1G02930	description:glutathione	1387
AT1G02940	description:glutathione	1327
AT1G02950	description:glutathione	1352
AT1G02960	description:kinetochore	3112
AT1G02965		1153
AT1G02970	description:WEE1-like	3113
AT1G02980	description:cullin	3974
AT1G02990		5919
AT1G03000	description:peroxin	4865
AT1G03010	description:Phototropic-responsive	3314
AT1G03020	description:Thioredoxin	672
AT1G03030	description:P-loop	2499
AT1G03040	description:basic	2815
AT1G03050	description:ENTH/ANTH/VHS	2556
AT1G03055	description:beta-carotene	1839
AT1G03060	description:BEACH-DOMAIN	14418
AT1G03070	description:Bax	1735
AT1G03080	description:kinase	6714
AT1G03090	description:methylcrotonyl-CoA	4640
AT1G03100	description:Pentatricopeptide	2816
AT1G03103	description:Bifunctional	860
AT1G03106		933
AT1G03110	description:Transducin/WD40	2730
AT1G03120	description:responsive	949
AT1G03130	description:photosystem	955
AT1G03140	description:splicing	2042
AT1G03150	description:Acyl-CoA	2264
AT1G03160	description:FZO-like	4933
AT1G03165		988
AT1G03170	description:FANTASTIC	2308
AT1G03180	description:non-structural	2004
AT1G03190	description:RAD3-like	4517
AT1G03200		2427
AT1G03210	description:Phenazine	1442
AT1G03220	description:Eukaryotic	1890
AT1G03230	description:Eukaryotic	1869
AT1G03240		838
AT1G03250	description:R3H	2017
AT1G03260	description:SNARE	3042
AT1G03270	description:CBS	3510
AT1G03280	description:Transcription	4096
AT1G03290	description:ELKS/Rab6-interacting/CAST	5820
AT1G03300	description:at	2053
AT1G03310	description:debranching	3399
AT1G03320		778
AT1G03325		125
AT1G03330	description:Small	1629
AT1G03340		1864
AT1G03350	description:BSD	1828
AT1G03360	description:ribosomal	1882
AT1G03365	description:RING/U-box	3870
AT1G03370	description:C2	4861
AT1G03380	description:autophagy	5606
AT1G03390	description:HXXXD-type	1385
AT1G03395		481
AT1G03400	description:2-oxoglutarate	1525
AT1G03410	description:2-oxoglutarate	3247
AT1G03430	description:histidine-containing	1828
AT1G03440	description:Leucine-rich	2146
AT1G03445	description:Serine/threonine	5291
AT1G03457	description:RNA-binding	3610
AT1G03470	description:Kinase	1825
AT1G03475	description:Coproporphyrinogen	2455
AT1G03490	description:NAC	1032
AT1G03495	description:HXXXD-type	1310
AT1G03510	description:Tetratricopeptide	1469
AT1G03520	description:Core-2/I-branching	2398
AT1G03530	description:nuclear	3215
AT1G03540	description:Pentatricopeptide	1928
AT1G03550	description:Secretory	2333
AT1G03560	description:Pentatricopeptide	2337
AT1G03590	description:Protein	3480
AT1G03600	description:photosystem	1314
AT1G03610	description:plant/protein	2338
AT1G03620	description:ELMO/CED-12	2648
AT1G03630	C	2127
AT1G03650	description:Acyl-CoA	1269
AT1G03660	description:Ankyrin-repeat	2498
AT1G03670	description:ankyrin	2000
AT1G03680	description:thioredoxin	1292
AT1G03687	description:DTW	2307
AT1G03700	description:Uncharacterized	1148
AT1G03710	description:Cystatin/monellin	1340
AT1G03720	description:Cysteine	1377
AT1G03730	description:pyrroline-5-carboxylate	1270
AT1G03740	description:Protein	3599
AT1G03750	description:switch	3336
AT1G03760	description:Prefoldin	2315
AT1G03770	description:RING	2911
AT1G03780	description:targeting	4307
AT1G03790	description:Zinc	1854
AT1G03800	description:ERF	1279
AT1G03810	description:Nucleic	850
AT1G03820	description:E6-like	1126
AT1G03830	description:guanylate-binding	5106
AT1G03840	description:C2H2	2864
AT1G03850	description:Glutaredoxin	1881
AT1G03860	description:prohibitin	2695
AT1G03870	description:FASCICLIN-like	1163
AT1G03880	description:cruciferin	2395
AT1G03890	description:RmlC-like	1822
AT1G03900	description:non-intrinsic	2020
AT1G03905	description:P-loop	2589
AT1G03910	description:cactus-binding	4322
AT1G03920	description:Protein	3294
AT1G03930	description:dual	3682
AT1G03940	description:HXXXD-type	1917
AT1G03950	description:vacuolar	2214
AT1G03960	description:Calcium-binding	4305
AT1G03970	description:G-box	1189
AT1G03980	description:phytochelatin	2797
AT1G03982	description:PAK-box/P21-Rho-binding	1468
AT1G03990	description:Long-chain	2876
AT1G04000		1266
AT1G04010	description:phospholipid	5307
AT1G04020	description:breast	3769
AT1G04030	description:eisosome	2517
AT1G04040	description:HAD	1525
AT1G04050	description:histone-lysine	3879
AT1G04070	description:translocase	689
AT1G04080	description:Tetratricopeptide	5515
AT1G04090	description:vacuolar	2413
AT1G04100	description:indoleacetic	1739
AT1G04105		618
AT1G04110	description:Subtilase	2512
AT1G04120	description:multidrug	6816
AT1G04130	description:Tetratricopeptide	2294
AT1G04140	description:Transducin	5085
AT1G04150	description:C2	3407
AT1G04160	description:myosin	10340
AT1G04170	GAMMA	3019
AT1G04180	description:YUCCA	1748
AT1G04190	description:Tetratricopeptide	2371
AT1G04200	description:dyggve-melchior-clausen	4760
AT1G04210	description:Leucine-rich	5364
AT1G04220	description:3-ketoacyl-CoA	3087
AT1G04230	description:rRNA-processing	3273
AT1G04240	description:AUX/IAA	1540
AT1G04250	description:AUX/IAA	2585
AT1G04260	description:CAMV	1286
AT1G04270	description:cytosolic	1572
AT1G04280	description:P-loop	3655
AT1G04290	description:Thioesterase	1236
AT1G04300	description:TRAF-like	5993
AT1G04310	description:ethylene	3049
AT1G04330		693
AT1G04340	description:HR-like	1956
AT1G04350	description:2-oxoglutarate	2225
AT1G04360	description:RING/U-box	1746
AT1G04370	description:Ethylene-responsive	735
AT1G04380	description:2-oxoglutarate	1732
AT1G04390	description:BTB/POZ	4394
AT1G04400	description:cryptochrome	3184
AT1G04410	description:Lactate/malate	2463
AT1G04420	description:NAD(P)-linked	2365
AT1G04430	description:S-adenosyl-L-methionine-dependent	3623
AT1G04440	description:casein	3849
AT1G04445	description:C2H2-like	1102
AT1G04450	description:ROP-interactive	1505
AT1G04455		353
AT1G04470		3917
AT1G04480	description:Ribosomal	1546
AT1G04490		3070
AT1G04500	description:CCT	3128
AT1G04510	description:MOS4-associated	4464
AT1G04520	description:plasmodesmata-located	2580
AT1G04530	description:Tetratricopeptide	2030
AT1G04540	description:Calcium-dependent	2445
AT1G04550	description:AUX/IAA	1863
AT1G04555	description:transmembrane	1738
AT1G04560	description:AWPM-19-like	1112
AT1G04570	description:Major	2275
AT1G04580	description:aldehyde	5888
AT1G04590	description:PPR	2847
AT1G04600	description:myosin	10826
AT1G04610	description:YUCCA	2267
AT1G04620	description:coenzyme	4456
AT1G04625	description:Polynucleotidyl	1989
AT1G04630	description:GRIM-19	1378
AT1G04635	description:ribonuclease	724
AT1G04640	description:lipoyltransferase	1375
AT1G04645	description:Plant	493
AT1G04650	description:holliday	4396
AT1G04660	description:glycine-rich	1405
AT1G04670		929
AT1G04680	description:Pectin	4506
