accession	fonctionnelle	taille	reference
AT1TE52125	FALSE	11559	.
AT1TE42735	FALSE	139	.
AT1TE36140	FALSE	139	.
AT1TE21850	FALSE	139	.
AT1TE95105	FALSE	139	.
AT1TE18375	FALSE	139	.
AT1TE65535	FALSE	2189	.
AT1TE11410	FALSE	139	.
AT1TE68360	FALSE	138	.
AT1TE19300	FALSE	138	.
AT1TE63050	FALSE	136	.
AT1TE53750	FALSE	2184	.
AT1TE38930	FALSE	138	.
AT1TE40925	FALSE	2184	.
AT1TE42110	FALSE	136	.
AT1TE63730	FALSE	136	.
AT1TE49730	FALSE	139	.
AT1TE46155	FALSE	137	.
AT1TE36900	FALSE	22	.
AT1TE68520	FALSE	138	.
AT1TE43535	FALSE	114	.
AT1TE71890	FALSE	140	.
AT1TE63860	FALSE	111	.
AT1TE64050	FALSE	138	.
AT1TE23280	FALSE	101	.
AT1TE31580	FALSE	92	.
AT1TE55320	FALSE	8744	.
AT1TE52710	FALSE	138	.
AT1TE36560	FALSE	137	.
AT1TE65335	FALSE	139	.
AT1TE66080	FALSE	136	.
AT1TE90830	FALSE	137	.
AT1TE24580	FALSE	140	.
AT1TE18795	FALSE	140	.
AT1TE67710	FALSE	137	.
AT1TE42340	FALSE	136	.
AT1TE60660	FALSE	88	.
AT1TE27660	FALSE	136	.
AT1TE98890	FALSE	134	.
AT1TE60710	FALSE	70	.
AT1TE54815	FALSE	136	.
AT1TE43800	FALSE	136	.
AT1TE42990	FALSE	21	.
AT1TE20740	FALSE	134	.
AT1TE26840	FALSE	136	.
AT1TE46570	FALSE	133	.
AT1TE67905	FALSE	37	.
AT1TE82050	FALSE	135	.
AT1TE24780	FALSE	135	.
AT1TE41795	FALSE	136	.
AT1TE08230	FALSE	133	.
AT1TE63975	FALSE	135	.
AT1TE55060	FALSE	133	.
AT1TE82620	FALSE	135	.
AT1TE80045	FALSE	140	.
AT1TE76290	FALSE	136	.
AT1TE57310	FALSE	135	.
AT1TE49330	FALSE	2183	.
AT1TE50650	FALSE	2183	.
AT1TE60185	FALSE	138	.
AT1TE47540	FALSE	8746	.
AT1TE31895	FALSE	138	.
AT1TE70050	FALSE	137	.
AT1TE84655	FALSE	135	.
AT1TE23040	FALSE	135	.
AT1TE41720	FALSE	72	.
AT1TE49490	FALSE	135	.
AT1TE30045	FALSE	137	.
AT1TE02275	FALSE	137	.
AT1TE51175	FALSE	2187	.
AT1TE44550	FALSE	136	.
AT1TE42560	FALSE	135	.
AT1TE45375	FALSE	135	.
AT1TE36940	FALSE	112	.
AT1TE55290	FALSE	138	.
AT1TE42855	FALSE	139	.
AT1TE97160	FALSE	144	.
AT1TE54655	FALSE	2210	.
AT1TE40105	FALSE	145	.
AT1TE27405	FALSE	2209	.
AT1TE74420	FALSE	104	.
AT1TE29530	FALSE	142	.
AT1TE58065	FALSE	145	.
AT1TE35845	FALSE	144	.
AT1TE40695	FALSE	2207	.
AT1TE66120	FALSE	141	.
AT1TE41825	FALSE	141	.
AT1TE64950	FALSE	24	.
AT1TE58720	FALSE	21	.
AT1TE70720	FALSE	141	.
AT1TE22740	FALSE	56	.
AT1TE51620	FALSE	143	.
AT1TE41915	FALSE	143	.
AT1TE26120	FALSE	2210	.
AT1TE20920	FALSE	146	.
AT1TE62145	FALSE	146	.
AT1TE51895	FALSE	51	.
AT1TE81300	FALSE	134	.
AT1TE76035	FALSE	146	.
AT1TE37650	FALSE	132	.
AT1TE65780	FALSE	143	.
AT1TE66390	FALSE	24	.
AT1TE04080	FALSE	143	.
AT1TE02360	FALSE	143	.
AT1TE65105	FALSE	145	.
AT1TE67165	FALSE	141	.
AT1TE58165	FALSE	145	.
AT1TE57150	FALSE	131	.
AT1TE81855	FALSE	143	.
AT1TE58140	FALSE	145	.
AT1TE46425	FALSE	143	.
AT1TE06475	FALSE	37	.
AT1TE30860	FALSE	49	.
AT1TE72605	FALSE	25	.
AT1TE63935	FALSE	139	.
AT1TE41955	FALSE	63	.
AT1TE23350	FALSE	139	.
AT1TE75650	FALSE	141	.
AT1TE84625	FALSE	139	.
AT1TE44640	FALSE	139	.
AT1TE53235	FALSE	33	.
AT1TE57925	FALSE	141	.
AT1TE37870	FALSE	139	.
AT1TE37865	FALSE	139	.
AT1TE75440	FALSE	141	.
AT1TE20320	FALSE	139	.
AT1TE01900	FALSE	58	.
AT1TE62205	FALSE	29	.
AT1TE34005	FALSE	139	.
AT1TE55385	FALSE	140	.
AT1TE58735	FALSE	139	.
AT1TE17550	FALSE	142	.
AT1TE80650	FALSE	132	.
AT1TE71485	FALSE	140	.
AT1TE49315	FALSE	141	.
AT1TE62210	FALSE	110	.
AT1TE31755	FALSE	143	.
AT1TE56665	FALSE	141	.
AT1TE78780	FALSE	140	.
AT1TE83185	FALSE	142	.
AT1TE15780	FALSE	140	.
AT1TE62395	FALSE	112	.
AT1TE95445	FALSE	140	.
AT1TE40175	FALSE	140	.
AT1TE89980	FALSE	140	.
AT1TE72500	FALSE	140	.
AT1TE43650	FALSE	140	.
AT1TE44135	FALSE	142	.
AT1TE45535	FALSE	133	.
AT1TE40765	FALSE	128	.
AT1TE46615	FALSE	134	.
AT1TE62940	FALSE	33	.
AT1TE52535	FALSE	2140	.
AT1TE42360	FALSE	121	.
AT1TE30330	FALSE	126	.
AT1TE95680	FALSE	90	.
AT1TE65935	FALSE	124	.
AT1TE53355	FALSE	124	.
AT1TE42305	FALSE	124	.
AT1TE29610	FALSE	126	.
AT1TE52495	FALSE	123	.
AT1TE51500	FALSE	43	.
